seconds,sensor_0,sensor_1,actuator_0,target
25.3000,26.3530,26.0480,30.0000,"25.0"
25.3200,26.3530,26.0480,30.0000,"25.0"
25.3600,26.3530,26.0480,30.0000,"25.0"
25.3800,26.3280,26.0730,30.0000,"25.0"
25.4200,26.3790,26.0730,30.0000,"25.0"
25.4400,26.3530,26.0730,30.0000,"25.0"
25.4800,26.3280,26.0730,30.0000,"25.0"
25.5000,26.3530,26.0730,30.0000,"25.0"
25.5400,26.3530,26.0990,30.0000,"25.0"
25.5600,26.3530,26.0730,30.0000,"25.0"
25.6000,26.3530,26.0730,30.0000,"25.0"
25.6201,26.3280,26.0730,30.0000,"25.0"
25.6600,26.3280,26.0480,30.0000,"25.0"
25.6800,26.3280,26.0730,30.0000,"25.0"
25.7200,26.3280,26.0730,30.0000,"25.0"
25.7400,26.3280,26.0730,30.0000,"25.0"
25.7800,26.3530,26.0730,30.0000,"25.0"
25.8000,26.3530,26.0730,30.0000,"25.0"
25.8400,26.3530,26.0730,30.0000,"25.0"
25.8600,26.3280,26.0480,30.0000,"25.0"
25.9000,26.3530,26.0730,30.0000,"25.0"
25.9200,26.3280,26.0990,30.0000,"25.0"
25.9600,26.3530,26.0990,30.0000,"25.0"
25.9801,26.3280,26.0990,30.0000,"25.0"
26.0200,26.3280,26.0990,30.0000,"25.0"
26.0400,26.3280,26.0730,30.0000,"25.0"
26.0800,26.3530,26.0990,30.0000,"25.0"
26.1000,26.3790,26.0730,30.0000,"25.0"
26.1400,26.3790,26.0730,30.0000,"25.0"
26.1600,26.3530,26.0730,30.0000,"25.0"
26.2000,26.3530,26.0730,30.0000,"25.0"
26.2200,26.3530,26.0730,30.0000,"25.0"
26.2600,26.3530,26.0480,30.0000,"25.0"
26.2800,26.3530,26.0730,30.0000,"25.0"
26.3200,26.3530,26.0730,30.0000,"25.0"
26.3400,26.3530,26.0730,30.0000,"25.0"
26.3800,26.3530,26.0730,30.0000,"25.0"
26.4000,26.3280,26.0730,30.0000,"25.0"
26.4400,26.3530,26.0730,30.0000,"25.0"
26.4600,26.3280,26.0730,30.0000,"25.0"
26.5000,26.3530,26.0730,30.0000,"25.0"
26.5200,26.3530,26.0730,30.0000,"25.0"
26.5600,26.3030,26.0990,30.0000,"25.0"
26.5800,26.3280,26.0730,30.0000,"25.0"
26.6200,26.3530,26.0730,30.0000,"25.0"
26.6400,26.3530,26.0730,30.0000,"25.0"
26.6800,26.3280,26.0730,30.0000,"25.0"
26.7000,26.3790,26.0990,30.0000,"25.0"
26.7400,26.3280,26.0730,30.0000,"25.0"
26.7600,26.3280,26.0730,30.0000,"25.0"
26.8000,26.3530,26.0730,30.0000,"25.0"
26.8200,26.3280,26.0990,30.0000,"25.0"
26.8601,26.3530,26.0990,30.0000,"25.0"
26.8800,26.3530,26.0730,30.0000,"25.0"
26.9200,26.3530,26.0730,30.0000,"25.0"
26.9400,26.3530,26.0730,30.0000,"25.0"
26.9800,26.3280,26.0990,30.0000,"25.0"
27.0001,26.3530,26.0990,30.0000,"25.0"
27.0400,26.3280,26.0730,30.0000,"25.0"
27.0600,26.3530,26.0730,30.0000,"25.0"
