time,temp_a,temp_b
00:29.289,25.32,25.59
00:29.412,25.33,25.59
00:29.538,25.33,25.59
00:29.661,25.33,25.59
00:29.784,25.34,25.59
00:29.911,25.33,25.59
00:30.034,25.34,25.59
00:30.157,25.34,25.59
00:30.280,25.35,25.59
00:30.407,25.35,25.59
00:30.530,25.35,25.59
00:30.653,25.36,25.59
00:30.775,25.36,25.59
00:30.902,25.37,25.59
00:31.026,25.37,25.6
00:31.148,25.37,25.59
00:31.275,25.38,25.6
00:31.398,25.38,25.6
00:31.521,25.38,25.6
00:31.644,25.38,25.6
00:31.770,25.39,25.6
00:31.894,25.39,25.6
00:32.017,25.39,25.6
00:32.140,25.39,25.6
00:32.266,25.39,25.6
00:32.390,25.39,25.6
00:32.512,25.39,25.61
00:32.635,25.39,25.61
00:32.762,25.39,25.61
00:32.885,25.39,25.61
00:33.008,25.39,25.61
00:33.135,25.39,25.61
00:33.257,25.39,25.62
00:33.381,25.39,25.62
00:33.504,25.39,25.62
00:33.630,25.39,25.62
00:33.753,25.39,25.63
00:33.876,25.39,25.63
00:33.999,25.39,25.63
00:34.126,25.39,25.64
00:34.249,25.39,25.64
00:34.372,25.39,25.64
00:34.498,25.39,25.65
00:34.622,25.39,25.65
00:34.745,25.39,25.66
00:34.867,25.39,25.67
00:34.994,25.39,25.67
00:35.117,25.39,25.67
00:35.240,25.39,25.68
00:35.363,25.39,25.68
00:35.490,25.39,25.68
00:35.613,25.39,25.69
00:35.736,25.4,25.69
00:35.859,25.4,25.69
00:35.985,25.4,25.69
00:36.109,25.4,25.69
00:36.231,25.4,25.69
00:36.358,25.4,25.69
00:36.481,25.41,25.69
00:36.604,25.41,25.69
00:36.727,25.41,25.69
00:36.854,25.41,25.69
00:36.977,25.42,25.69
00:37.100,25.42,25.69
00:37.223,25.42,25.69
00:37.349,25.43,25.69
00:37.472,25.43,25.69
00:37.595,25.43,25.69
00:37.718,25.44,25.69
00:37.845,25.44,25.69
00:37.968,25.45,25.69
00:38.091,25.45,25.69
00:38.218,25.46,25.69
00:38.340,25.46,25.69
00:38.464,25.47,25.69
00:38.587,25.47,25.69
00:38.713,25.47,25.69
00:38.836,25.48,25.69
00:38.959,25.49,25.69
00:39.082,25.49,25.7
00:39.209,25.49,25.69
00:39.332,25.49,25.69
00:39.455,25.49,25.7
00:39.581,25.49,25.7
00:39.705,25.49,25.7
00:39.828,25.49,25.7
00:39.950,25.49,25.7
00:40.077,25.49,25.7
00:40.200,25.49,25.7
00:40.323,25.49,25.7
00:40.446,25.49,25.71
00:40.573,25.49,25.71
00:40.696,25.49,25.71
00:40.819,25.49,25.71
00:40.942,25.49,25.71
00:41.069,25.49,25.72
00:41.192,25.49,25.72
00:41.315,25.49,25.72
00:41.441,25.49,25.73
00:41.564,25.49,25.73
00:41.687,25.49,25.73
00:41.810,25.49,25.74
00:41.937,25.49,25.74
00:42.060,25.49,25.75
00:42.183,25.49,25.75
00:42.306,25.5,25.76
00:42.432,25.5,25.76
00:42.555,25.5,25.77
00:42.678,25.5,25.77
00:42.805,25.5,25.78
00:42.928,25.5,25.78
00:43.051,25.5,25.78
00:43.174,25.5,25.79
00:43.301,25.51,25.79
00:43.424,25.51,25.79
00:43.547,25.51,25.79
00:43.670,25.51,25.79
00:43.796,25.52,25.79
00:43.919,25.52,25.79
00:44.042,25.53,25.79
00:44.165,25.53,25.79
00:44.292,25.54,25.79
00:44.415,25.54,25.79
00:44.538,25.55,25.8
00:44.664,25.55,25.8
00:44.788,25.56,25.8
00:44.910,25.56,25.8
00:45.033,25.57,25.8
00:45.160,25.57,25.8
00:45.283,25.57,25.8
00:45.406,25.58,25.8
00:45.529,25.58,25.8
00:45.656,25.58,25.8
00:45.779,25.59,25.8
