timestamp,seconds,temp_a,temp_b,duty,target
18:23:40,0.6272,26.099,26.532,-100.0,30
18:23:40,0.7965,26.124,26.558,100.0,30
18:23:40,0.8531,26.15,26.532,100.0,30
18:23:40,0.8980,26.124,26.558,100.0,30
18:23:40,0.9543,26.124,26.532,100.0,30
18:23:40,1.0129,26.15,26.532,100.0,30
18:23:40,1.0568,26.124,26.532,100.0,30
18:23:41,1.0985,26.124,26.532,100.0,30
18:23:41,1.1427,26.124,26.532,100.0,30
18:23:41,1.1907,26.124,26.532,100.0,30
18:23:41,1.2389,26.124,26.532,100.0,30
18:23:41,1.2864,26.124,26.558,100.0,30
18:23:41,1.3328,26.175,26.558,100.0,30
18:23:41,1.3788,26.15,26.583,100.0,30
18:23:41,1.4217,26.124,26.532,100.0,30
18:23:41,1.4664,26.15,26.558,100.0,30
18:23:41,1.5070,26.099,26.583,100.0,30
18:23:41,1.5531,26.124,26.532,100.0,30
18:23:41,1.5974,26.099,26.558,100.0,30
18:23:41,1.6402,26.073,26.532,100.0,30
18:23:41,1.6846,26.124,26.532,100.0,30
18:23:41,1.7261,26.124,26.532,100.0,30
18:23:41,1.7758,26.124,26.532,100.0,30
18:23:41,1.8204,26.124,26.532,100.0,30
18:23:41,1.8625,26.15,26.532,100.0,30
18:23:41,1.9099,26.124,26.558,100.0,30
18:23:41,1.9578,26.124,26.558,100.0,30
18:23:41,2.0051,26.124,26.532,100.0,30
18:23:41,2.0528,26.124,26.532,100.0,30
18:23:42,2.0985,26.099,26.532,100.0,30
18:23:42,2.1388,26.124,26.532,100.0,30
18:23:42,2.1809,26.124,26.532,100.0,30
18:23:42,2.2231,26.124,26.532,100.0,30
18:23:42,2.2650,26.099,26.583,100.0,30
18:23:42,2.3086,26.124,26.558,100.0,30
18:23:42,2.3531,26.124,26.532,100.0,30
18:23:42,2.3956,26.124,26.532,100.0,30
18:23:42,2.4405,26.124,26.558,100.0,30
18:23:42,2.4825,26.099,26.532,100.0,30
18:23:42,2.5243,26.124,26.532,100.0,30
18:23:42,2.5658,26.124,26.532,100.0,30
18:23:42,2.6079,26.124,26.532,100.0,30
18:23:42,2.6502,26.124,26.532,100.0,30
18:23:42,2.6922,26.124,26.558,100.0,30
18:23:42,2.7355,26.099,26.532,100.0,30
18:23:42,2.7776,26.124,26.558,100.0,30
18:23:42,2.8233,26.124,26.558,100.0,30
18:23:42,2.8661,26.124,26.532,100.0,30
18:23:42,2.9095,26.099,26.532,100.0,30
18:23:42,2.9561,26.124,26.532,100.0,30
18:23:42,3.0008,26.124,26.532,100.0,30
18:23:42,3.0444,26.124,26.532,100.0,30
18:23:42,3.0906,26.124,26.532,100.0,30
18:23:43,3.1330,26.099,26.532,100.0,30
18:23:43,3.1762,26.124,26.532,100.0,30
18:23:43,3.2206,26.124,26.532,100.0,30
18:23:43,3.2636,26.124,26.532,100.0,30
18:23:43,3.3106,26.124,26.532,100.0,30
18:23:43,3.3567,26.124,26.506,100.0,30
18:23:43,3.4043,26.099,26.532,100.0,30
18:23:43,3.4487,26.124,26.532,100.0,30
18:23:43,3.4936,26.099,26.532,100.0,30
18:23:43,3.5419,26.073,26.532,100.0,30
18:23:43,3.5910,26.073,26.506,100.0,30
18:23:43,3.6390,26.124,26.532,100.0,30
18:23:43,3.6845,26.15,26.532,100.0,30
18:23:43,3.7303,26.124,26.532,100.0,30
18:23:43,3.7758,26.124,26.532,100.0,30
18:23:43,3.8217,26.124,26.532,100.0,30
18:23:43,3.9148,26.124,26.558,100.0,30
18:23:43,3.9627,26.124,26.532,100.0,30
18:23:43,4.0096,26.124,26.558,100.0,30
18:23:43,4.0558,26.124,26.558,100.0,30
18:23:44,4.1017,26.124,26.532,100.0,30
18:23:44,4.1477,26.124,26.532,100.0,30
18:23:44,4.1959,26.124,26.558,100.0,30
18:23:44,4.2443,26.124,26.558,100.0,30
